president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/26/2026,4/1/2026,1500, LV,0.896499,0.896499,TRUE,46,52,-6,43.22636,53.55544,-10.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,4/1/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Voters,YouGov,Economist,3/27/2026,3/30/2026,1505, RV,0.8893612,0.8893612,,39,58,-19,39.48236,57.03912,-17.55676,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3wplfYX.pdf,3/30/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.8830099,,35,64,-29,36.60076,60.59572,-23.99496,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.8830099,,19,16,3,17.84961,14.07146,3.77815,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.8830099,,16,49,-33,18.34193,48.55702,-30.21509,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Adults,SSRS,CNN,3/26/2026,3/30/2026,1201, A,0.936313,0.8830099,,35,64,-29,35.62247,61.19668,-25.57421,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),Voters,SSRS,CNN,3/26/2026,3/30/2026,, RV,0.9017959,0.8504578,,38,62,-24,39.21297,59.23653,-20.02356,https://www.documentcloud.org/documents/27964261-cnn-poll-conducted-by-ssrs-trump-approval-economy/,3/30/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Trade,YouGov,Economist,3/20/2026,3/23/2026,1665, A,1.273548,0.8362778,,34,59,-25,35.18372,59.8136,-24.62988,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o84FoNw.pdf,3/23/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Cost,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.8212947,,24,71,-47,26.0392,69.0159,-42.9767,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Strong,Beacon Research/Shaw & Co. Research,FOX News,3/20/2026,3/23/2026,1001, RV,1.350154,0.8072367,,22,47,-25,22.43258,46.65005,-24.21747,https://www.foxnews.com/politics/fox-news-poll-voters-oppose-action-iran-give-u-s-military-positive-marks,3/23/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,Beacon Research/Shaw & Co. Research,FOX News,3/20/2026,3/23/2026,1001, RV,1.350154,0.8072367,,41,59,-18,40.75167,57.78682,-17.03515,https://www.foxnews.com/politics/fox-news-poll-voters-oppose-action-iran-give-u-s-military-positive-marks,3/23/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Beacon Research/Shaw & Co. Research,FOX News,3/20/2026,3/23/2026,1001, RV,1.350154,0.8072367,,41,59,-18,40.16665,58.0402,-17.87355,https://www.foxnews.com/politics/fox-news-poll-voters-oppose-action-iran-give-u-s-military-positive-marks,3/23/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,Beacon Research/Shaw & Co. Research,FOX News,3/20/2026,3/23/2026,1001, RV,1.350154,0.8072367,,19,12,7,18.06411,11.60671,6.457399,https://www.foxnews.com/politics/fox-news-poll-voters-oppose-action-iran-give-u-s-military-positive-marks,3/23/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Weak,YouGov,Economist,3/27/2026,3/30/2026,1679, A,0.8055668,0.8055668,,14,9,5,13.72152,9.204475,4.517045,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3wplfYX.pdf,3/30/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,YouGov,Economist,3/27/2026,3/30/2026,1679, A,0.8055668,0.8055668,,21,48,-27,23.03222,47.00601,-23.97379,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3wplfYX.pdf,3/30/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Adults,YouGov,Economist,3/27/2026,3/30/2026,1679, A,0.7980723,0.7980723,,35,58,-23,35.06847,57.53004,-22.46157,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3wplfYX.pdf,3/30/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,YouGov,Economist,3/27/2026,3/30/2026,1679, A,0.777205,0.777205,,35,58,-23,36.59466,56.74012,-20.14546,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3wplfYX.pdf,3/30/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Trade,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.7398391,,38,61,-23,38.56139,58.69345,-20.13206,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Economy,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.7398391,,38,61,-23,39.86322,57.59647,-17.73325,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Economy,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,1.226592,0.7256709,,38,58,-20,38.51713,57.48076,-18.96363,https://poll.qu.edu/poll-release?releaseid=3953,3/23/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Trade,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7217374,0.7217374,,44,47,-3,39.48343,54.38507,-14.90164,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Immigration,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7217374,0.7217374,,49,45,4,45.67538,50.39907,-4.72369,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7217374,0.7217374,,42,52,-10,39.07255,57.02652,-17.95397,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Strong,Rasmussen Reports,,3/22/2026,3/26/2026,1873, LV,1.033586,0.7204126,,28,46,-18,23.62962,47.40892,-23.7793,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_march_22_26_2026,3/26/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,Rasmussen Reports,,3/22/2026,3/26/2026,1873, LV,1.033586,0.7204126,,15,9,6,16.21883,9.673255,6.545575,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_march_22_26_2026,3/26/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Trade,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.7085246,,28,64,-36,30.45328,62.01103,-31.55775,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Economy,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.7085246,,30,61,-31,31.88003,60.59825,-28.71822,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Immigration,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.7085246,,35,60,-25,36.5575,58.75345,-22.19595,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Strong,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7217374,0.677231,,26,43,-17,24.82487,43.77537,-18.9505,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7217374,0.677231,,17,11,6,16.52057,11.62038,4.90019,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Voters,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.7171717,0.6728125,,43,54,-11,41.90062,54.67728,-12.77666,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Strong,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.6698172,,18,48,-30,21.18954,47.87984,-26.6903,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.6698172,,38,60,-22,40.29209,56.6234,-16.33131,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.6698172,,20,12,8,19.32703,9.122248,10.20478,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Adults,AP-NORC,,3/19/2026,3/23/2026,1150, A,1.229993,0.6698172,,38,60,-22,39.2977,57.27721,-17.97951,https://apnorc.org/projects/most-say-the-united-states-recent-military-actions-against-iran-have-gone-too-far/,3/23/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),Cost,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8639728,0.6620641,,24,67,-43,27.55836,66.53588,-38.97752,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Voters,Ipsos,Reuters,3/20/2026,3/23/2026,985, RV,1.098841,0.6609517,,40,59,-19,40.73239,57.37926,-16.64687,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,1.226592,0.6541107,,38,56,-18,40.29878,55.33346,-15.03468,https://poll.qu.edu/poll-release?releaseid=3953,3/23/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,1.226592,0.6541107,,9,5,4,14.18227,7.737482,6.444788,https://poll.qu.edu/poll-release?releaseid=3953,3/23/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Voters,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,1.226592,0.6541107,,38,56,-18,40.80436,55.13512,-14.33076,https://poll.qu.edu/poll-release?releaseid=3953,3/23/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Strong,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,1.226592,0.6541107,,28,50,-22,25.41897,47.10725,-21.68828,https://poll.qu.edu/poll-release?releaseid=3953,3/23/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Cost,RMG Research,Napolitan News Service,3/18/2026,3/19/2026,1000, RV,1.089867,0.6534045,,37,61,-24,33.68756,62.68786,-29.0003,https://napolitannews.org/posts/trumps-approval-largely-unchanged-on-key-issues-from-february-lows,3/19/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Adults,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.6521395,,33,62,-29,34.00153,60.98167,-26.98014,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.6521395,,33,62,-29,34.75661,60.55816,-25.80155,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.6521395,,17,9,8,17.02205,9.630943,7.391108,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,University of Massachusetts (Amherst),,3/20/2026,3/25/2026,1000, A,0.9904499,0.6521395,,16,53,-37,17.78599,51.24608,-33.46009,https://www.umass.edu/political-science/about/reports/2026-0#toc-toplines-and-crosstabs,3/25/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,Morning Consult,Gambling Is Not Investing,3/27/2026,3/29/2026,2203, RV,0.6844959,0.6411908,,43,54,-11,41.40576,55.55352,-14.14776,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/29/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,J.L. Partners,Daily Mail,3/23/2026,3/24/2026,1017, RV,0.8887714,0.6276028,,18,9,9,17.1625,9.485273,7.677227,https://www.dailymail.co.uk/news/article-15692097/amp/donald-trump-polling-iran-rebound.html,3/24/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,3/23/2026,3/24/2026,1017, RV,0.8887714,0.6276028,,41,49,-8,40.95232,52.71215,-11.75983,https://www.dailymail.co.uk/news/article-15692097/amp/donald-trump-polling-iran-rebound.html,3/24/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Strong,J.L. Partners,Daily Mail,3/23/2026,3/24/2026,1017, RV,0.8887714,0.6276028,,24,40,-16,24.94169,43.64046,-18.69877,https://www.dailymail.co.uk/news/article-15692097/amp/donald-trump-polling-iran-rebound.html,3/24/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,J.L. Partners,Daily Mail,3/23/2026,3/24/2026,1017, RV,0.8887714,0.6276028,,41,49,-8,41.52822,52.51292,-10.9847,https://www.dailymail.co.uk/news/article-15692097/amp/donald-trump-polling-iran-rebound.html,3/24/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Cost,YouGov,Economist,3/20/2026,3/23/2026,1665, A,0.7402057,0.5584824,,30,64,-34,30.50546,63.67575,-33.17029,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o84FoNw.pdf,3/23/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Economy,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8568168,0.5553387,,29,62,-33,32.09627,62.00053,-29.90426,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Immigration,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8568168,0.5553387,,40,53,-13,41.91029,53.44202,-11.53173,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/18/2026,3/26/2026,3000, RV,0.971151,0.55089,,45,54,-9,41.321,56.65636,-15.33536,https://napolitannews.org/jobapproval,3/26/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Weak,RMG Research,Napolitan News Service,3/18/2026,3/26/2026,3000, RV,0.971151,0.55089,,22,11,11,18.45852,10.55233,7.906191,https://napolitannews.org/jobapproval,3/26/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,RMG Research,Napolitan News Service,3/18/2026,3/26/2026,3000, RV,0.971151,0.55089,,23,43,-20,22.33673,46.71667,-24.37994,https://napolitannews.org/jobapproval,3/26/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,3/18/2026,3/26/2026,3000, RV,0.971151,0.55089,,45,54,-9,40.58654,56.83046,-16.24392,https://napolitannews.org/jobapproval,3/26/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Immigration,RMG Research,Napolitan News Service,3/18/2026,3/19/2026,1000, RV,1.089867,0.5287009,,46,53,-7,43.73129,54.26599,-10.5347,https://napolitannews.org/posts/trumps-approval-largely-unchanged-on-key-issues-from-february-lows,3/19/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,RMG Research,Napolitan News Service,3/18/2026,3/19/2026,1000, RV,1.089867,0.5287009,,41,59,-18,39.81322,58.95771,-19.14449,https://napolitannews.org/posts/trumps-approval-largely-unchanged-on-key-issues-from-february-lows,3/19/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Cost,John Zogby Strategies,,3/17/2026,3/19/2026,1000, LV,0.9686494,0.5184412,,38.2,56.9,-18.7,35.906,59.34585,-23.43985,https://johnzogbystrategies.com/decisive-poll-on-war-with-iran/,3/19/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Strong,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8639728,0.5106325,,16,47,-31,20.14199,47.00953,-26.86754,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8639728,0.5106325,,20,14,6,17.84753,12.53999,5.30754,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Cost,YouGov,CBS News,3/17/2026,3/20/2026,3335, A,0.8885224,0.5069557,,33,67,-34,33.50546,66.67575,-33.17029,https://www.cbsnews.com/news/opinion-poll-iran-war-regime-2028-03-22/,3/20/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Adults,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8568168,0.5050923,,36,62,-26,36.51297,60.63894,-24.12597,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,Ipsos,Reuters,3/20/2026,3/23/2026,1272, A,0.8568168,0.5050923,,36,62,-26,37.84302,59.95902,-22.116,https://www.ipsos.com/en-us/economy-and-foreign-conflicts-now-publics-top-two-issue-concerns,3/23/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Cost,Verasight,Strength in Numbers,3/16/2026,3/18/2026,1530, A,1.01207,0.487815,,28,68,-40,29.13,66.84883,-37.71883,https://www.gelliottmorris.com/p/2026-03-24-march-sin-verasight-poll-main-release,3/18/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Cost,Ipsos,Reuters,3/17/2026,3/19/2026,1545, A,0.9032649,0.4782447,,29,63,-34,32.55836,62.53588,-29.97752,https://www.reuters.com/world/middle-east/americans-believe-trump-will-send-troops-into-iran-dont-like-idea-reutersipsos-2026-03-19/,3/19/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),All polls,Emerson College,,3/16/2026,3/17/2026,1000, LV,1.386178,0.4755221,,41.9,51.4,-9.5,41.35348,53.94396,-12.59048,https://emersoncollegepolling.com/march-2026-national-poll-47-oppose-us-military-action-in-iran-40-support/,3/17/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Emerson College,,3/16/2026,3/17/2026,1000, LV,1.386178,0.4755221,,41.9,51.4,-9.5,41.84714,53.84925,-12.00211,https://emersoncollegepolling.com/march-2026-national-poll-47-oppose-us-military-action-in-iran-40-support/,3/17/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Economy,YouGov,Economist,3/20/2026,3/23/2026,1665, A,0.7402057,0.4676208,,35,60,-25,36.04517,60.3217,-24.27653,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o84FoNw.pdf,3/23/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Economy,John Zogby Strategies,,3/17/2026,3/19/2026,1000, LV,1.018615,0.4387303,,41.3,54.9,-13.6,39.9283,56.1353,-16.207,https://johnzogbystrategies.com/decisive-poll-on-war-with-iran/,3/19/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Economy,The Argument/Verasight,,3/12/2026,3/17/2026,1519, RV,1.323832,0.424331,,39,58,-19,38.66342,58.07355,-19.41013,https://www.theargumentmag.com/p/americans-would-trade-jobs-for-cheaper,3/17/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Voters,YouGov,Economist,3/20/2026,3/23/2026,1502, RV,0.7446238,0.4199452,,41,55,-14,41.48236,54.03912,-12.55676,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o84FoNw.pdf,3/23/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Immigration,YouGov,CBS News,3/17/2026,3/20/2026,3335, A,0.9285673,0.4196264,,45,55,-10,45.17162,54.86853,-9.696911,https://www.cbsnews.com/news/opinion-poll-iran-war-regime-2028-03-22/,3/20/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Trade,John Zogby Strategies,,3/17/2026,3/19/2026,1000, LV,0.9686494,0.4058892,,40.2,54.4,-14.2,38.52651,55.84532,-17.31881,https://johnzogbystrategies.com/decisive-poll-on-war-with-iran/,3/19/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Immigration,John Zogby Strategies,,3/17/2026,3/19/2026,1000, LV,0.9686494,0.4058892,,48.2,48.9,-0.7000008,45.30804,51.91589,-6.607849,https://johnzogbystrategies.com/decisive-poll-on-war-with-iran/,3/19/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,YouGov,CBS News,3/17/2026,3/20/2026,3335, A,0.8885224,0.3979367,,36,64,-28,37.04517,64.3217,-27.27653,https://www.cbsnews.com/news/opinion-poll-iran-war-regime-2028-03-22/,3/20/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Immigration,Echelon Insights,,3/12/2026,3/16/2026,1033, LV,1.367617,0.3947613,,43,55,-12,41.21712,55.64461,-14.42749,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2026-Omnibus-Topline-External.pdf,3/16/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,Echelon Insights,,3/12/2026,3/16/2026,1033, LV,1.367617,0.3947613,,38,59,-21,36.54097,59.76828,-23.22731,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2026-Omnibus-Topline-External.pdf,3/16/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Strong,The Argument/Verasight,,3/12/2026,3/17/2026,1519, RV,1.323832,0.3890831,,24,49,-25,24.10993,48.13104,-24.02111,https://www.theargumentmag.com/p/americans-would-trade-jobs-for-cheaper,3/17/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,The Argument/Verasight,,3/12/2026,3/17/2026,1519, RV,1.323832,0.3890831,,16,9,7,15.92876,9.294501,6.634258,https://www.theargumentmag.com/p/americans-would-trade-jobs-for-cheaper,3/17/2026,16:01:12  2 Apr 2026
